DMU;CountryYear;Country code;Country;Bank;ID;Foreign;Government;Bank code;Listed;Type;Islamic;year;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;STMC;STMR;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;IIILargeAssets;VLargeAssets;HHIAssets  ;IIILargeLoans;VLargeLoans;HHILoans;IIILargeDeposits;VLargeDeposits;HHIDeposits;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Banque de Développement Local/2006;Algeria/2006;1;Algeria;Banque de Développement Local;AlgeriaBanque de Développement Local2006;0;1;4;0;CB;0;2006;0,438;0,376;0,722;2109,045;81,656;0,026;42,053;1137,589;;20,318;1137,589;26,209;48,715;;;77,292;103,418;109,806;32,514;0,001;0,041;3090,054;8,036;224,482;2029,152;2183,378;37,648;109,806;103,418;891,563;72,647;1000,00;0,020;3508,909;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,010;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,843;15,073;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,018;1962;44;1;0,062;0,028
Banque de Développement Local/2007;Algeria/2007;1;Algeria;Banque de Développement Local;AlgeriaBanque de Développement Local2007;0;1;4;0;CB;0;2007;0,398;0,386;0,621;2474,875;216,257;0,058;159,339;1358,591;;37,464;1358,591;32,486;25,573;;;49,803;108,540;83,328;33,525;0,002;0,048;3725,185;8,223;258,127;2758,542;2552,805;69,531;83,328;108,540;1399,952;69,292;1000,00;0,030;4005,224;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,009;0,069;0,922;0,010;0,105;0,885;0,005;0,064;0,931;0,843;32,980;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,028;1962;45;1;0,077;0,029
Banque de Développement Local/2008;Algeria/2008;1;Algeria;Banque de Développement Local;AlgeriaBanque de Développement Local2008;0;1;4;0;CB;0;2008;0,503;0,475;0,626;3079,721;413,887;0,087;167,150;1707,529;;33,817;1707,529;41,033;88,723;;;38,679;42,581;82,220;43,541;0,003;0,038;4770,217;8,470;308,074;3602,786;3163,335;41,389;82,220;42,581;1895,257;64,583;1000,00;0,024;4966,572;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,843;49,128;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,020;1962;46;1;0,077;0,029
Banque de Développement Local/2009;Algeria/2009;1;Algeria;Banque de Développement Local;AlgeriaBanque de Développement Local2009;0;1;4;0;CB;0;2009;0,457;0,446;0,697;3202,151;428,962;0,089;145,938;1848,875;;27,599;1848,875;46,843;91,951;;;104,298;118,366;146,502;42,204;0,006;0,066;4818,465;8,480;350,049;3747,786;3276,483;44,007;146,502;118,366;1898,911;72,647;1000,00;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,843;51,967;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,015;1962;47;1;0,077;0,051
Banque de Développement Local/2010;Algeria/2010;1;Algeria;Banque de Développement Local;AlgeriaBanque de Développement Local2010;0;1;4;0;CB;0;2010;0,845;0,841;0,568;1698,008;349,542;0,070;138,413;2064,623;;47,375;2064,623;41,204;94,171;;;77,488;42,253;77,488;;0,002;0,025;5011,052;8,519;372,752;3698,049;1929,517;65,241;77,488;42,253;1633,426;74,386;1000,00;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,843;39,344;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,023;1962;48;1;0,077;0,051
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2005;Algeria/2005;1;Algeria;Banque du Maghreb Arabe pour l'Investissement et le Commerce;AlgeriaBanque du Maghreb Arabe pour l'Investissement et le Commerce2005;0;0;5;0;CB;0;2005;0,364;0,110;0,429;1,702;0,932;0,351;0,020;0,252;;0,015;0,252;0,040;0,037;;;0,018;0,040;0,033;0,015;0,011;0,030;2,654;0,976;194,500;2,628;1,702;0,049;0,033;0,040;2,376;73,276;1,00;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,843;106,061;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,059;1962;43;1;0,062;0,028
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2006;Algeria/2006;1;Algeria;Banque du Maghreb Arabe pour l'Investissement et le Commerce;AlgeriaBanque du Maghreb Arabe pour l'Investissement et le Commerce2006;0;0;5;0;CB;0;2006;0,311;0,054;0,353;1,861;1,002;0,348;0,021;0,124;;0,015;0,124;0,037;0,056;;;0,018;0,037;0,033;0,015;0,016;0,047;2,884;1,059;209,500;2,858;1,861;0,077;0,033;0,037;2,734;72,647;1,00;0,020;3508,909;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,010;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,843;106,591;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,122;1962;44;1;0,062;0,028
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2007;Algeria/2007;1;Algeria;Banque du Maghreb Arabe pour l'Investissement et le Commerce;AlgeriaBanque du Maghreb Arabe pour l'Investissement et le Commerce2007;1;0;5;0;CB;0;2007;0,310;0,113;0,329;1,736;1,088;0,382;0,020;0,404;;0,009;0,404;0,036;0,065;;;0,017;0,036;0,033;0,016;0,020;0,055;2,849;1,047;197,400;2,824;1,736;0,085;0,033;0,036;2,420;69,292;1,00;0,030;4005,224;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,009;0,069;0,922;0,010;0,105;0,885;0,005;0,064;0,931;0,843;117,814;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,021;1962;45;1;0,077;0,029
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2008;Algeria/2008;1;Algeria;Banque du Maghreb Arabe pour l'Investissement et le Commerce;AlgeriaBanque du Maghreb Arabe pour l'Investissement et le Commerce2008;1;0;5;0;CB;0;2008;0,503;0,080;0,344;2,041;1,203;0,369;0,019;0,189;;0,003;0,189;0,054;0,045;;;0,017;0,054;0,034;0,017;0,020;0,052;3,264;1,183;210,800;3,241;2,041;0,063;0,034;0,054;3,052;64,583;1,00;0,024;4966,572;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,761;113,727;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,016;1962;46;1;0,077;0,029
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2009;Algeria/2009;1;Algeria;Banque du Maghreb Arabe pour l'Investissement et le Commerce;AlgeriaBanque du Maghreb Arabe pour l'Investissement et le Commerce2009;1;0;5;0;CB;0;2009;0,673;0,175;0,368;1,871;1,075;0,363;0,017;0,209;;0,004;0,209;0,054;0,014;;;0,017;0,080;0,034;0,018;0,019;0,051;2,962;1,086;215,200;2,943;1,871;0,010;0,034;0,080;2,734;72,647;1,00;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,761;111,817;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,020;1962;47;1;0,077;0,051
