DMU;CountryYear;Country code;Country;Bank;ID;Foreign;Government;Bank code;Listed;Type;Islamic;year;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;STMC;STMR;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;IIILargeAssets;VLargeAssets;HHIAssets  ;IIILargeLoans;VLargeLoans;HHILoans;IIILargeDeposits;VLargeDeposits;HHIDeposits;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Bank of Africa (Uganda) Ltd/2007;Uganda/2007;39;Uganda;Bank of Africa (Uganda) Ltd;UgandaBank of Africa (Uganda) Ltd2007;1;0;259;0;CB;0;2007;0,289;0,110;0,730;49,017;7,440;0,126;3,411;32,145;0,009;0,547;31,685;2,557;4,166;;142;2,714;3,227;5,400;2,686;0,022;0,187;59,104;4,079;124325,00;43,413;50,568;1,628;5,400;3,227;11,729;1723,49;1,00;0,084;392,75;5,973;0,049;0,092;0,061;0,073;;;1,625;4,722;8,195;8,333;8,000;6,563;0,000;6,250;3,750;5,271;1,458;5,536;8,334;9,167;7,778;6,458;0,000;7,857;2,857;5,494;0,58;0,75;1400,00;0,62;0,78;1500,00;0,61;0,73;1600,00;0,13;0,87;0,00;0,16;0,84;0,00;0,15;0,85;0,00;0,630;31,237;0,836;0,01;English;1;0;7,41;0;;63,1;30;25;80,6;83;57,5;87,8;78;68,8;50;70;0,017;1962;45;2;0,31;
Bank of Africa (Uganda) Ltd/2008;Uganda/2008;39;Uganda;Bank of Africa (Uganda) Ltd;UgandaBank of Africa (Uganda) Ltd2008;1;0;259;0;CB;0;2008;0,243;0,106;0,737;77,868;11,958;0,119;5,021;49,680;0,013;0,157;49,088;3,197;6,295;;192;4,179;4,379;7,863;3,684;0,027;0,222;100,646;4,612;216748,00;79,885;87,667;3,718;7,863;4,379;30,797;1720,44;1,00;0,087;460,79;6,133;0,052;0,112;0,121;0,064;;;1,625;4,722;8,195;8,333;8,000;6,563;0,000;6,250;3,750;5,271;1,458;5,536;8,334;9,167;7,778;6,458;0,000;7,857;2,857;5,494;0,58;0,75;1400,00;0,62;0,78;1500,00;0,61;0,73;1600,00;0,15;0,85;0,00;0,20;0,80;0,00;0,16;0,84;0,00;0,630;30,698;0,836;0,01;English;1;0;7,38;0;;63,8;30;27;80,5;86;56,5;87,8;78,5;72;50;70;0,003;1962;46;2;0,31;
Bank of Africa (Uganda) Ltd/2009;Uganda/2009;39;Uganda;Bank of Africa (Uganda) Ltd;UgandaBank of Africa (Uganda) Ltd2009;1;0;259;0;CB;0;2009;0,215;0,107;0,771;85,998;12,902;0,117;5,644;57,509;0,010;0,404;56,774;3,026;6,789;;223;4,240;4,024;8,331;4,092;0,017;0,142;110,189;4,702;268287,00;91,016;95,983;4,922;8,331;4,024;34,243;2030,49;1,00;0,072;488,25;6,191;0,038;0,124;0,130;0,146;0,207;0,004;1,625;4,722;8,195;8,333;8,000;6,563;0,000;6,250;3,750;5,271;1,458;5,536;8,334;9,167;7,778;6,458;0,000;7,857;2,857;5,494;0,58;0,75;1400,00;0,62;0,78;1500,00;0,61;0,73;1600,00;0,16;0,84;0,00;0,20;0,80;0,00;0,17;0,83;0,00;0,630;28,176;0,836;0,01;English;1;0;7,31;0;;63,5;30;28;80,4;86,9;58,7;87,9;78,4;75,2;50;60;0,007;1962;47;2;0,32;
Bank of Africa (Uganda) Ltd/2010;Uganda/2010;39;Uganda;Bank of Africa (Uganda) Ltd;UgandaBank of Africa (Uganda) Ltd2010;1;0;259;0;CB;0;2010;0,199;0,119;0,814;111,898;14,800;0,108;6,559;72,447;0,011;0,648;71,313;3,155;7,770;;240;5,390;4,221;9,756;4,365;0,014;0,125;136,834;4,919;364283,00;114,263;120,419;5,080;9,756;4,221;42,950;2177,56;1,00;0,059;514,51;6,243;0,026;0,134;0,040;0,095;0,154;0,006;1,625;4,722;8,195;8,333;8,000;6,563;0,000;6,250;3,750;5,271;1,458;5,536;8,334;9,167;7,778;6,458;0,000;7,857;2,857;5,494;0,58;0,75;1400,00;0,62;0,78;1500,00;0,61;0,73;1600,00;0,16;0,84;0,00;0,20;0,80;0,00;0,17;0,83;0,00;0,630;25,727;0,836;0,01;English;1;0;7,41;0;;62,2;30;26;80,5;85,5;57;88,1;78,1;72,1;45;60;0,009;1962;48;2;0,31;
Bank of Baroda (Uganda) Limited/2007;Uganda/2007;39;Uganda;Bank of Baroda (Uganda) Limited;UgandaBank of Baroda (Uganda) Limited2007;1;0;260;1;CB;0;2007;0,181;0,123;0,377;106,290;26,417;0,188;6,520;50,014;0,002;0,018;49,912;2,539;9,755;;;2,811;3,163;4,876;2,065;0,049;0,270;140,510;4,945;263897,70;120,831;106,290;4,856;4,876;3,163;70,919;1723,49;1,00;0,084;392,75;5,973;0,049;0,092;0,061;0,073;;;1,625;4,722;8,195;8,333;8,000;6,563;0,000;6,250;3,750;5,271;1,458;5,536;8,334;9,167;7,778;6,458;0,000;7,857;2,857;5,494;0,58;0,75;1400,00;0,62;0,78;1500,00;0,61;0,73;1600,00;0,13;0,87;0,00;0,16;0,84;0,00;0,15;0,85;0,00;0,630;91,289;0,836;0,01;English;1;0;7,41;0;;63,1;30;25;80,6;83;57,5;87,8;78;68,8;50;70;0,000;1962;45;2;0,31;
Bank of Baroda (Uganda) Limited/2008;Uganda/2008;39;Uganda;Bank of Baroda (Uganda) Limited;UgandaBank of Baroda (Uganda) Limited2008;1;0;260;1;CB;0;2008;0,202;0,142;0,347;127,533;32,615;0,190;6,402;66,477;0,015;0,769;65,515;3,043;11,637;;;3,313;4,181;5,489;2,176;0,050;0,265;171,387;5,144;343013,60;152,259;127,533;5,683;5,489;4,181;86,744;1720,44;1,00;0,087;460,79;6,133;0,052;0,112;0,121;0,064;;;1,625;4,722;8,195;8,333;8,000;6,563;0,000;6,250;3,750;5,271;1,458;5,536;8,334;9,167;7,778;6,458;0,000;7,857;2,857;5,494;0,58;0,75;1400,00;0,62;0,78;1500,00;0,61;0,73;1600,00;0,15;0,85;0,00;0,20;0,80;0,00;0,16;0,84;0,00;0,630;92,438;0,836;0,01;English;1;0;7,38;0;;63,8;30;27;80,5;86;56,5;87,8;78,5;72;50;70;0,012;1962;46;2;0,31;
Bank of Baroda (Uganda) Limited/2009;Uganda/2009;39;Uganda;Bank of Baroda (Uganda) Limited;UgandaBank of Baroda (Uganda) Limited2009;1;0;260;1;CB;0;2009;0,193;0,153;0,338;144,841;34,702;0,182;5,913;74,557;0,009;-0,163;73,905;2,765;11,531;;;2,971;3,621;5,118;2,147;0,049;0,264;190,371;5,249;433502,80;163,291;144,841;6,799;5,118;3,621;89,386;2030,49;1,00;0,072;488,25;6,191;0,038;0,124;0,130;0,146;0,207;0,004;1,625;4,722;8,195;8,333;8,000;6,563;0,000;6,250;3,750;5,271;1,458;5,536;8,334;9,167;7,778;6,458;0,000;7,857;2,857;5,494;0,58;0,72;1500,00;0,58;0,74;1600,00;0,61;0,74;1600,00;0,16;0,84;0,00;0,20;0,80;0,00;0,17;0,83;0,00;0,639;88,917;0,836;0,01;English;1;0;7,31;0;;63,5;30;28;80,4;86,9;58,7;87,9;78,4;75,2;50;60;-0,002;1962;47;2;0,32;
Bank of Baroda (Uganda) Limited/2010;Uganda/2010;39;Uganda;Bank of Baroda (Uganda) Limited;UgandaBank of Baroda (Uganda) Limited2010;1;0;260;1;CB;0;2010;0,241;0,201;0,325;179,678;39,158;0,172;5,451;104,235;0,003;-0,201;103,935;3,294;13,422;;;3,226;4,513;5,823;2,597;0,048;0,273;228,082;5,430;567489,30;203,616;179,678;7,184;5,823;4,513;99,681;2177,56;1,00;0,059;514,51;6,243;0,026;0,134;0,040;0,095;0,154;0,006;1,625;4,722;8,195;8,333;8,000;6,563;0,000;6,250;3,750;5,271;1,458;5,536;8,334;9,167;7,778;6,458;0,000;7,857;2,857;5,494;0,58;0,72;1500,00;0,58;0,74;1600,00;0,61;0,74;1600,00;0,16;0,84;0,00;0,20;0,80;0,00;0,17;0,83;0,00;0,639;84,497;0,836;0,01;English;1;0;7,41;0;;62,2;30;26;80,5;85,5;57;88,1;78,1;72,1;45;60;-0,002;1962;48;2;0,31;
Barclays Bank of Uganda Limited/2007;Uganda/2007;39;Uganda;Barclays Bank of Uganda Limited;UgandaBarclays Bank of Uganda Limited2007;1;0;261;0;CB;0;2007;0,221;0,132;0,619;347,780;55,207;0,127;29,852;264,122;0,083;17,842;243,466;12,801;34,085;;;21,702;20,179;33,591;11,889;0,011;0,085;435,711;6,077;804693,00;350,533;370,364;9,219;33,591;20,179;107,066;1723,49;1,00;0,084;392,75;5,973;0,049;0,092;0,061;0,073;;;1,625;4,722;8,195;8,333;8,000;6,563;0,000;6,250;3,750;5,271;1,458;5,536;8,334;9,167;7,778;6,458;0,000;7,857;2,857;5,494;0,58;0,72;1500,00;0,58;0,74;1600,00;0,61;0,74;1600,00;0,13;0,87;0,00;0,16;0,84;0,00;0,15;0,85;0,00;0,639;5,399;0,836;0,01;English;1;0;7,41;0;;63,1;30;25;80,6;83;57,5;87,8;78;68,8;50;70;0,068;1962;45;2;0,31;
Barclays Bank of Uganda Limited/2008;Uganda/2008;39;Uganda;Barclays Bank of Uganda Limited;UgandaBarclays Bank of Uganda Limited2008;1;0;261;0;CB;0;2008;0,189;0,088;1,139;457,817;86,185;0,150;33,051;331,454;0,055;8,660;305,000;15,257;37,959;;;49,365;25,913;72,761;23,396;-0,021;-0,147;573,189;6,351;1074885,00;423,332;469,658;15,108;72,761;25,913;118,332;1720,44;1,00;0,087;460,79;6,133;0,052;0,112;0,121;0,064;;;1,625;4,722;8,195;8,333;8,000;6,563;0,000;6,250;3,750;5,271;1,458;5,536;8,334;9,167;7,778;6,458;0,000;7,857;2,857;5,494;0,58;0,72;1500,00;0,58;0,74;1600,00;0,61;0,74;1600,00;0,15;0,85;0,00;0,20;0,80;0,00;0,16;0,84;0,00;0,639;5,103;0,836;0,01;English;1;0;7,38;0;;63,8;30;27;80,5;86;56,5;87,8;78,5;72;50;70;0,026;1962;46;2;0,31;
