DMU;ID ;year;Bank;Bank code;Listed;Type;Islamic;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Albaraka of Algeria-Banque Al Baraka d'Algerie/2005;1;2005;Albaraka of Algeria-Banque Al Baraka d'Algerie;1;0;CB;0;0,408;0,403;0,371;299,073;46,304;0,082;10,085;374,105;;6,018;374,105;0,205;24,046;;;4,872;0,955;9,266;4,394;0,016;0,213;564,889;6,337;49,008;392,583;432,882;14,52;9,266;0,955;18,478;73,276;1000;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,838;11,371;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,016;1962;#REF!;1;0,062;0,028
Albaraka of Algeria-Banque Al Baraka d'Algerie/2006;1;2006;Albaraka of Algeria-Banque Al Baraka d'Algerie;1;0;CB;0;0,341;0,335;0,404;380,169;66,514;0,105;14,22;409,09;;4,708;409,09;0,303;31,399;;;8,411;6,676;15,39;6,979;0,024;0,251;632,789;6,45;53,436;430,88;503,671;17,275;15,39;6,676;21,79;72,647;1000;0,02;3508,909;8,163;0,005;0,113;0,023;0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,01;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,838;14,881;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,012;1962;#REF!;1;0,062;0,028
Albaraka of Algeria-Banque Al Baraka d'Algerie/2007;1;2007;Albaraka of Algeria-Banque Al Baraka d'Algerie;1;0;CB;0;0,532;0,498;0,349;643,649;86,517;0,107;14,446;544,042;;7,173;544,042;6,004;34,838;;;9,135;14,432;17,174;8,038;0,026;0,244;811,72;6,699;65,548;556,713;643,678;16,423;17,174;14,432;12,671;69,292;1000;0,03;4005,224;8,295;0,014;0,12;0,037;0,073;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,009;0,069;0,922;0,01;0,105;0,885;0,005;0,064;0,931;0,838;15,311;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,013;1962;#REF!;1;0,077;0,029
Albaraka of Algeria-Banque Al Baraka d'Algerie/2008;1;2008;Albaraka of Algeria-Banque Al Baraka d'Algerie;1;0;CB;0;0,505;0,505;0,307;854,748;138,566;0,124;32,919;799,129;;3,097;799,129;7,788;53,714;;;12,712;25,146;24,217;11,505;0,042;0,358;1118,781;7,02;86,189;823,315;854,748;23,66;24,217;25,146;24,186;64,583;1000;0,024;4966,572;8,51;0,008;0,122;0,049;0,146;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,838;19,131;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,004;1962;#REF!;1;0,077;0,029
Albaraka of Algeria-Banque Al Baraka d'Algerie/2009;1;2009;Albaraka of Algeria-Banque Al Baraka d'Algerie;1;0;CB;0;0,464;0,464;0,348;1053,775;215,052;0,158;30,545;818,487;;3,483;818,487;3,73;64,49;;;13,627;18,376;28,824;15,197;0,033;0,232;1360,626;7,216;136,328;831,908;1053,775;26,223;28,824;18,376;13,421;72,647;1000;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,838;22,132;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,004;1962;#REF!;1;0,077;0,051
Albaraka of Algeria-Banque Al Baraka d'Algerie/2010;1;2010;Albaraka of Algeria-Banque Al Baraka d'Algerie;1;0;CB;0;0,457;0,45;0,242;1209,61;246,915;0,152;31,189;748,649;;13,322;748,649;1,183;72,863;;;23,539;24,48;23,539;;0,03;0,191;1620,05;7,39;163,307;753,865;1209,61;17,167;23,539;24,48;5,216;74,386;1000;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,838;21,035;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,018;1962;#REF!;1;0,077;0,051
Arab Banking Corporation - Algeria/2005;1;2005;Arab Banking Corporation - Algeria;2;0;CB;0;1;0,63;0,076;245,135;45,506;0,106;8,123;88,011;;2,426;88,011;8,147;10,241;4;;1,396;8,147;1,396;;0,02;0,179;430,004;6,064;54648,4;232,681;245,135;0,8;1,396;8,147;144,67;73,276;1;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,838;6,298;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,028;1962;#REF!;1;0,062;0,028
Arab Banking Corporation - Algeria/2006;1;2006;Arab Banking Corporation - Algeria;2;0;CB;0;1;0,705;0,051;237,213;37,227;0,091;5,269;101,076;;28,129;101,076;10,408;13,183;4;221;1,214;10,408;1,214;;-0,021;-0,209;409,634;6,015;52372,5;287,423;237,213;1,66;1,214;10,408;186,347;72,647;1;0,02;3508,909;8,163;0,005;0,113;0,023;0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,01;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,838;3,528;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,278;1962;#REF!;1;0,062;0,028
Arab Banking Corporation - Algeria/2007;1;2007;Arab Banking Corporation - Algeria;2;0;CB;0;1;1;0,057;342,247;62,701;0,119;12,059;185,205;;5,804;185,205;9,528;16,361;9;280;1,478;9,528;1,478;;0,03;0,287;527,059;6,267;56331,6;382,563;342,247;1,117;1,478;9,528;197,358;69,292;1;0,03;4005,224;8,295;0,014;0,12;0,037;0,073;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,009;0,069;0,922;0,01;0,105;0,885;0,005;0,064;0,931;0,838;7,499;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,031;1962;#REF!;1;0,077;0,029
Arab Banking Corporation - Algeria/2008;1;2008;Arab Banking Corporation - Algeria;2;0;CB;0;0,325;0,252;0,528;298,95;77,456;0,147;12,878;179,19;;-0,921;179,19;7,967;19,48;;331;8,817;8,877;14,961;6,144;0,018;0,138;526,515;6,266;43546,9;351,837;336,579;1,531;14,961;8,877;172,647;64,583;1;0,024;4966,572;8,51;0,008;0,122;0,049;0,146;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,838;8,299;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;-0,005;1962;#REF!;1;0,077;0,029
BADR/2007;1;2007;BADR;3;0;CB;0;0,536;0,536;0,498;7460,088;257,281;0,03;235,31;3852,672;;214,905;3852,672;21,246;242,563;;;63,307;21,246;131,348;68,041;-0,013;-0,221;8539,711;9,052;1111290,8;5908,352;7507,591;69,612;131,348;21,246;2055,68;69,292;1;0,03;4005,224;8,295;0,014;0,12;0,037;0,073;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,009;0,069;0,922;0,01;0,105;0,885;0,005;0,064;0,931;0,843;1,562;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,056;1962;#REF!;1;0,077;0,029
BADR/2008;1;2008;BADR;3;0;CB;0;0,471;0,471;0,369;10009,874;465,935;0,039;239,873;4290,974;;-377,407;4290,974;44,538;318,274;;;58,788;76,13;145,471;86,683;0,006;0,177;11892,902;9,384;901465,7;9022,588;10566,05;92,167;145,471;76,13;4731,614;64,583;1;0,024;4966,572;8,51;0,008;0,122;0,049;0,146;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,843;4,113;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;-0,088;1962;#REF!;1;0,077;0,029
BADR/2009;1;2009;BADR;3;0;CB;0;0,506;0,502;0,618;9723,684;433,326;0,038;204,952;4256,786;;-4,602;4256,786;32,797;177,302;;;59,54;66,045;150,345;90,806;0,002;0,04;11406,136;9,342;966994,1;8116,883;10206,708;90,795;150,345;66,045;3860,097;72,647;1;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,843;3,58;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;-0,001;1962;#REF!;1;0,077;0,051
BADR/2010;1;2010;BADR;3;0;CB;0;0,425;0,416;0,748;9370,46;566,082;0,052;186,069;3416,911;;-77,891;3416,911;51,417;143,016;;;186,187;106,011;186,187;;0,013;0,295;10906,907;9,297;990100;8566,92;9802,144;81,657;186,187;106,011;5150,009;74,386;1;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,843;5,897;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;-0,023;1962;#REF!;1;0,077;0,051
Banque de Développement Local/2005;1;2005;Banque de Développement Local;4;0;CB;0;0,397;0,331;1,222;1876,527;75,427;0,027;40,231;981,586;;-45,595;981,586;25,506;35,619;145;4176;75,454;51,19;106,037;30,583;0,001;0,025;2799,24;7,937;234,571;2107,666;1950,221;41,159;106,037;51,19;1126,08;73,276;1000;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,843;15,133;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;-0,046;1962;#REF!;1;0,062;0,028
Banque de Développement Local/2006;1;2006;Banque de Développement Local;4;0;CB;0;0,438;0,376;0,722;2109,045;81,656;0,026;42,053;1137,589;;20,318;1137,589;26,209;48,715;;;77,292;103,418;109,806;32,514;0,001;0,041;3090,054;8,036;224,482;2029,152;2183,378;37,648;109,806;103,418;891,563;72,647;1000;0,02;3508,909;8,163;0,005;0,113;0,023;0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,01;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,843;15,073;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,018;1962;#REF!;1;0,062;0,028
Banque de Développement Local/2007;1;2007;Banque de Développement Local;4;0;CB;0;0,398;0,386;0,621;2474,875;216,257;0,058;159,339;1358,591;;37,464;1358,591;32,486;25,573;;;49,803;108,54;83,328;33,525;0,002;0,048;3725,185;8,223;258,127;2758,542;2552,805;69,531;83,328;108,54;1399,952;69,292;1000;0,03;4005,224;8,295;0,014;0,12;0,037;0,073;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,009;0,069;0,922;0,01;0,105;0,885;0,005;0,064;0,931;0,843;32,98;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,028;1962;#REF!;1;0,077;0,029
Banque de Développement Local/2008;1;2008;Banque de Développement Local;4;0;CB;0;0,503;0,475;0,626;3079,721;413,887;0,087;167,15;1707,529;;33,817;1707,529;41,033;88,723;;;38,679;42,581;82,22;43,541;0,003;0,038;4770,217;8,47;308,074;3602,786;3163,335;41,389;82,22;42,581;1895,257;64,583;1000;0,024;4966,572;8,51;0,008;0,122;0,049;0,146;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,843;49,128;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,02;1962;#REF!;1;0,077;0,029
Banque de Développement Local/2009;1;2009;Banque de Développement Local;4;0;CB;0;0,457;0,446;0,697;3202,151;428,962;0,089;145,938;1848,875;;27,599;1848,875;46,843;91,951;;;104,298;118,366;146,502;42,204;0,006;0,066;4818,465;8,48;350,049;3747,786;3276,483;44,007;146,502;118,366;1898,911;72,647;1000;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,843;51,967;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,015;1962;#REF!;1;0,077;0,051
Banque de Développement Local/2010;1;2010;Banque de Développement Local;4;0;CB;0;0,845;0,841;0,568;1698,008;349,542;0,07;138,413;2064,623;;47,375;2064,623;41,204;94,171;;;77,488;42,253;77,488;;0,002;0,025;5011,052;8,519;372,752;3698,049;1929,517;65,241;77,488;42,253;1633,426;74,386;1000;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,843;39,344;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,023;1962;#REF!;1;0,077;0,051
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2005;1;2005;Banque du Maghreb Arabe pour l'Investissement et le Commerce;5;0;CB;0;0,364;0,11;0,429;1,702;0,932;0,351;0,02;0,252;;0,015;0,252;0,04;0,037;;;0,018;0,04;0,033;0,015;0,011;0,03;2,654;0,976;194,5;2,628;1,702;0,049;0,033;0,04;2,376;73,276;1;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,843;106,061;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,059;1962;#REF!;1;0,062;0,028
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2006;1;2006;Banque du Maghreb Arabe pour l'Investissement et le Commerce;5;0;CB;0;0,311;0,054;0,353;1,861;1,002;0,348;0,021;0,124;;0,015;0,124;0,037;0,056;;;0,018;0,037;0,033;0,015;0,016;0,047;2,884;1,059;209,5;2,858;1,861;0,077;0,033;0,037;2,734;72,647;1;0,02;3508,909;8,163;0,005;0,113;0,023;0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,01;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,843;106,591;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,122;1962;#REF!;1;0,062;0,028
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2007;1;2007;Banque du Maghreb Arabe pour l'Investissement et le Commerce;5;0;CB;0;0,31;0,113;0,329;1,736;1,088;0,382;0,02;0,404;;0,009;0,404;0,036;0,065;;;0,017;0,036;0,033;0,016;0,02;0,055;2,849;1,047;197,4;2,824;1,736;0,085;0,033;0,036;2,42;69,292;1;0,03;4005,224;8,295;0,014;0,12;0,037;0,073;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,009;0,069;0,922;0,01;0,105;0,885;0,005;0,064;0,931;0,843;117,814;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,021;1962;#REF!;1;0,077;0,029
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2008;1;2008;Banque du Maghreb Arabe pour l'Investissement et le Commerce;5;0;CB;0;0,503;0,08;0,344;2,041;1,203;0,369;0,019;0,189;;0,003;0,189;0,054;0,045;;;0,017;0,054;0,034;0,017;0,02;0,052;3,264;1,183;210,8;3,241;2,041;0,063;0,034;0,054;3,052;64,583;1;0,024;4966,572;8,51;0,008;0,122;0,049;0,146;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,761;113,727;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,016;1962;#REF!;1;0,077;0,029
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2009;1;2009;Banque du Maghreb Arabe pour l'Investissement et le Commerce;5;0;CB;0;0,673;0,175;0,368;1,871;1,075;0,363;0,017;0,209;;0,004;0,209;0,054;0,014;;;0,017;0,08;0,034;0,018;0,019;0,051;2,962;1,086;215,2;2,943;1,871;0,01;0,034;0,08;2,734;72,647;1;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,761;111,817;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,02;1962;#REF!;1;0,077;0,051
Banque du Maghreb Arabe pour l'Investissement et le Commerce/2010;1;2010;Banque du Maghreb Arabe pour l'Investissement et le Commerce;5;0;CB;0;0,983;0,419;0,385;2,131;1,078;0,334;0,015;0,538;;0,003;0,538;0,07;0,017;;;0,034;0,07;0,034;;0,017;0,049;3,228;1,172;717,7;3,171;2,131;0,004;0,034;0,07;2,634;74,386;1;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,761;102,867;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,005;1962;#REF!;1;0,077;0,051
Banque Nationale d'Algérie/2009;1;2009;Banque Nationale d'Algérie;7;0;CB;0;1;1;0,232;12733,394;1747,194;0,101;299,649;11007,937;;11,082;11007,937;172,939;400,104;;;133,782;177,493;133,782;;0,018;0,229;17354,201;9,762;2296432,1;13867,514;13192,68;108,66;133,782;177,493;2859,577;72,647;1;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,761;11,911;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,001;1962;#REF!;1;0,077;0,051
Banque Nationale d'Algérie/2010;1;2010;Banque Nationale d'Algérie;7;0;CB;0;1;0,888;0,208;13831,276;2282,253;0,119;302,404;10044,64;;-53,942;10044,64;166,248;507,011;;;146,801;197,924;146,801;;0,024;0,22;19112,275;9,858;1808581,7;15123,431;14278,107;122,949;146,801;197,924;5078,792;74,386;1;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,739;14,465;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;-0,005;1962;#REF!;1;0,077;0,051
BNP Paribas El Djazaïr/2005;1;2005;BNP Paribas El Djazaïr;8;0;CB;0;0,489;0,434;0,36;268,967;55,173;0,11;6,96;207,206;0,051;8,542;207,206;5,115;10,892;;;6,687;17,688;10,286;3,599;0,015;0,14;500,495;6,216;36674,4;285,467;268,967;0,965;10,286;17,688;78,261;73,276;1;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,739;30,48;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,041;1962;#REF!;1;0,062;0,028
BNP Paribas El Djazaïr/2006;1;2006;BNP Paribas El Djazaïr;8;0;CB;0;0,423;0,363;0,399;418,793;72,098;0,088;12,515;312,619;0,045;9,592;312,619;7,287;25,266;;;13,479;22,465;19,039;5,56;0,021;0,221;815,2;6,703;59221,5;474,347;418,793;1,316;19,039;22,465;161,728;72,647;1;0,02;3508,909;8,163;0,005;0,113;0,023;0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,01;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,739;26,728;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,031;1962;#REF!;1;0,062;0,028
BNP Paribas El Djazaïr/2007;1;2007;BNP Paribas El Djazaïr;8;0;CB;0;0,484;0,343;0,42;645,234;105,043;0,095;25,094;541,335;0,031;11,006;525,45;15,653;38,091;;;23,573;38,733;32,281;8,708;0,023;0,245;1105,577;7,008;204410,6;732,796;645,234;4,093;32,281;38,733;207,346;69,292;1;0,03;4005,224;8,295;0,014;0,12;0,037;0,073;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,009;0,069;0,922;0,01;0,105;0,885;0,005;0,064;0,931;0,739;28,617;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,02;1962;#REF!;1;0,077;0,029
BNP Paribas El Djazaïr/2008;1;2008;BNP Paribas El Djazaïr;8;0;CB;0;0,421;0,332;0,455;1314,184;172,831;0,086;44,995;795,018;0,03;6,307;775,948;23,193;55,9;;;35,181;57,93;51,768;16,586;0,025;0,283;2010,975;7,606;228029,2;1363,118;1314,184;18,864;51,768;57,93;587,17;64,583;1;0,024;4966,572;8,51;0,008;0,122;0,049;0,146;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,739;27,069;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,008;1962;#REF!;1;0,077;0,029
BNP Paribas El Djazaïr/2009;1;2009;BNP Paribas El Djazaïr;8;0;CB;0;0,385;0,304;0,412;1464,801;212,766;0,108;44,518;809,573;0,034;9,146;787,596;22,218;71,353;;;31,59;54,497;51,883;20,294;0,025;0,255;1963,527;7,582;142645,2;1546,881;1464,801;36,74;51,883;54,497;759,285;72,647;1;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;7,5;5;5,903;5;8;2,5;0;6,25;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0;6,429;2,5;4,612;0,007;0,098;0,896;0,007;0,123;0,87;0,002;0,092;0,906;0,739;32,452;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,011;1962;#REF!;1;0,077;0,051
