DMU;ID ;year;Bank;Bank code;Listed;Type;Islamic;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Merchant Bank (Ghana) Ltd/2009;14;2009;Merchant Bank (Ghana) Ltd;77;0;CB;0;0,186;0,158;0,448;0,107;0,013;0,077;0,003;0,092;0,125;0,009;0,072;0,002;0,011;;;0,004;0,007;0,008;0,005;0,009;0,099;0,164;-1,805;925,2;0,128;0,127;0,011;0,008;0,007;0,056;4801,08;1;0,04;1090,42;6,994;0,015;0,148;0,193;0,166;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,51;0,49;0;0,46;0,54;0;0,55;0,45;0;0,421;4,429;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;0,093;1957;#REF!;3;0,08;
Merchant Bank (Ghana) Ltd/2010;14;2010;Merchant Bank (Ghana) Ltd;77;0;CB;0;0,275;0,156;0,512;0,114;0,012;0,082;0,003;0,096;0,03;0,007;0,079;0,004;0,012;;;0,004;0,005;0,009;0,005;0,006;0,076;0,142;-1,951;907,8;0,123;0,124;0,013;0,009;0,005;0,043;5726,07;1;0,08;1319,07;7,185;0,055;0,137;0,107;0,165;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,51;0,49;0;0,46;0,54;0;0,55;0,45;0;0,383;4,553;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,073;1957;#REF!;3;0,08;
Prudential Bank Limited/2007;14;2007;Prudential Bank Limited;78;0;CB;0;0,221;0,304;0,665;0,048;0,003;0,047;0,001;0,028;;0;0,027;0,001;0,003;;535;0,002;0,002;0,003;0,001;0,012;0,25;0,059;-2,836;255,6;0,051;0,05;0,003;0,003;0,002;0,023;4197,75;1;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,49;0,51;0;0,54;0,46;0;0,48;0,52;0;0,383;17,583;0,706;0,09;English;1;0;7;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,016;1957;#REF!;3;0,11;
Prudential Bank Limited/2008;14;2008;Prudential Bank Limited;78;0;CB;0;0,186;0,248;0,737;0,048;0,004;0,057;0,002;0,035;;0;0,034;0,001;0,004;;649;0,003;0,002;0,004;0,001;0,017;0,331;0,061;-2,791;295,9;0,053;0,049;0,004;0,004;0,002;0,019;4601,69;1;0,084;1226,22;7,112;0,059;0,136;0,165;0,202;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,49;0,51;0;0,54;0,46;0;0,45;0,55;0;0,383;22,308;0,706;0,09;English;1;0;6,93;1;0,16;57;50;33;83,7;71,5;53,4;47,6;68;63;50;50;0,004;1957;#REF!;3;0,08;
Prudential Bank Limited/2009;14;2009;Prudential Bank Limited;78;0;CB;0;0,187;0,204;0,845;0,058;0,005;0,073;0,003;0,039;0,05;0;0,038;0,002;0,004;;;0,004;0,002;0,005;0,001;0,01;0,147;0,071;-2,649;354,7;0,059;0,062;0,006;0,005;0,002;0,021;4801,08;1;0,04;1090,42;6,994;0,015;0,148;0,193;0,166;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,51;0,49;0;0,46;0,54;0;0,55;0,45;0;0,383;24,589;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;0,008;1957;#REF!;3;0,08;
Prudential Bank Limited/2010;14;2010;Prudential Bank Limited;78;0;CB;0;0,174;0,203;0,826;0,061;0,007;0,096;0,003;0,041;0,047;0;0,039;0,002;0,004;;;0,004;0,002;0,005;0,001;0,012;0,135;0,071;-2,645;422,1;0,059;0,062;0,005;0,005;0,002;0,02;5726,07;1;0,08;1319,07;7,185;0,055;0,137;0,107;0,165;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,51;0,49;0;0,46;0,54;0;0,55;0,45;0;0,383;32,079;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,007;1957;#REF!;3;0,08;
Stanbic Bank Ghana Limited/2007;14;2007;Stanbic Bank Ghana Limited;79;0;CB;0;0,359;0,434;0,485;0,063;0,006;0,074;0,001;0,048;;0;0,046;0,002;0,004;;;0,002;0,003;0,003;0,002;0,031;0,418;0,084;-2,478;385,5;0,068;0,076;0,002;0,003;0,003;0,022;4197,75;1;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,49;0,51;0;0,54;0,46;0;0,48;0,52;0;0,383;6,88;0,706;0,09;English;1;0;7;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,003;1957;#REF!;3;0,11;
Stanbic Bank Ghana Limited/2008;14;2008;Stanbic Bank Ghana Limited;79;0;CB;0;0,24;0,242;0,515;0,08;0,01;0,1;0,003;0,055;0,132;0,001;0,052;0,002;0,007;;;0,003;0,005;0,006;0,003;0,036;0,412;0,1;-2,305;485,9;0,08;0,087;0,004;0,006;0,005;0,028;4601,69;1;0,084;1226,22;7,112;0,059;0,136;0,165;0,202;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,49;0,51;0;0,54;0,46;0;0,45;0,55;0;0,383;8,913;0,706;0,09;English;1;0;6,93;1;0,16;57;50;33;83,7;71,5;53,4;47,6;68;63;50;50;0,018;1957;#REF!;3;0,08;
Stanbic Bank Ghana Limited/2009;14;2009;Stanbic Bank Ghana Limited;79;0;CB;0;0,238;0,161;0,555;0,123;0,018;0,122;0,002;0,06;0,292;0,007;0,054;0,003;0,009;21;;0,005;0,007;0,009;0,004;0,002;0,015;0,149;-1,906;804,7;0,12;0,128;0,008;0,009;0,007;0,066;4801,08;1;0,04;1090,42;6,994;0,015;0,148;0,193;0,166;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,51;0,49;0;0,46;0,54;0;0,55;0,45;0;0,383;8,075;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;0,109;1957;#REF!;3;0,08;
Stanbic Bank Ghana Limited/2010;14;2010;Stanbic Bank Ghana Limited;79;0;CB;0;0,31;0,185;0,586;0,127;0,019;0,124;0,002;0,065;0,185;0,002;0,06;0,003;0,01;22;;0,005;0,007;0,01;0,005;0,024;0,195;0,154;-1,868;979,4;0,127;0,131;0,005;0,01;0,007;0,067;5726,07;1;0,08;1319,07;7,185;0,055;0,137;0,107;0,165;6,563;4,167;6,598;5;7,5;6,563;0;0;3,75;4,46;7,083;4,286;7,024;5,833;6,944;6,458;0;0;2,857;4,498;0,51;0,49;0;0,46;0,54;0;0,55;0,45;0;0,383;9,68;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,032;1957;#REF!;3;0,08;
